iter	Passed	Remaining
589	1853	1288
590	1856	1284
591	1859	1281
592	1862	1278
593	1865	1275
594	1868	1272
595	1871	1268
596	1874	1265
597	1878	1262
598	1881	1259
599	1884	1256
600	1887	1253
601	1890	1249
602	1893	1246
603	1896	1243
604	1900	1240
605	1903	1237
606	1905	1234
607	1908	1230
608	1912	1227
609	1915	1224
610	1918	1221
611	1921	1218
612	1925	1215
613	1928	1212
614	1931	1209
615	1934	1205
616	1937	1202
617	1940	1199
618	1943	1196
619	1946	1192
620	1949	1189
621	1952	1186
622	1955	1183
623	1958	1180
624	1961	1177
625	1965	1174
626	1967	1170
627	1970	1167
628	1973	1164
629	1976	1161
630	1980	1158
631	1983	1154
632	1986	1151
633	1989	1148
634	1992	1145
635	1995	1142
636	1999	1139
637	2002	1136
638	2005	1132
639	2008	1129
640	2011	1126
641	2014	1123
642	2018	1120
643	2021	1117
644	2024	1114
645	2027	1110
646	2030	1107
647	2033	1104
648	2036	1101
649	2039	1098
650	2043	1095
651	2046	1092
652	2049	1089
653	2052	1085
654	2055	1082
655	2058	1079
656	2061	1076
657	2064	1073
658	2067	1069
659	2070	1066
660	2073	1063
661	2077	1060
662	2080	1057
663	2083	1054
664	2086	1051
665	2089	1047
666	2092	1044
667	2095	1041
668	2098	1038
669	2101	1035
670	2104	1031
671	2107	1028
672	2111	1025
673	2114	1022
674	2117	1019
675	2120	1016
676	2122	1012
677	2126	1009
678	2129	1006
679	2132	1003
680	2135	1000
681	2138	997
682	2141	993
683	2144	990
684	2147	987
685	2150	984
686	2153	981
687	2156	977
688	2159	974
689	2162	971
690	2165	968
691	2168	965
692	2171	962
693	2174	958
694	2177	955
695	2180	952
696	2183	949
697	2186	946
698	2189	942
699	2192	939
700	2195	936
701	2198	933
702	2201	930
703	2204	927
704	2207	923
705	2210	920
706	2213	917
707	2216	914
708	2219	911
709	2222	907
710	2225	904
711	2229	901
712	2232	898
713	2235	895
714	2238	892
715	2241	889
716	2244	885
717	2247	882
718	2250	879
719	2253	876
720	2256	873
721	2258	869
722	2261	866
723	2264	863
724	2267	860
725	2270	856
726	2273	853
727	2276	850
728	2279	847
729	2282	844
730	2285	841
731	2289	838
732	2291	834
733	2295	831
734	2298	828
735	2301	825
736	2304	822
737	2307	819
738	2310	815
739	2313	812
740	2316	809
741	2319	806
742	2322	803
743	2325	800
744	2328	797
745	2331	793
746	2334	790
747	2338	787
748	2341	784
749	2344	781
750	2347	778
751	2350	775
752	2354	772
753	2356	768
754	2359	765
755	2362	762
756	2365	759
757	2368	756
758	2371	753
759	2374	749
760	2377	746
761	2380	743
762	2383	740
763	2386	737
764	2389	734
765	2392	730
766	2395	727
767	2398	724
768	2401	721
769	2404	718
770	2407	715
771	2410	711
772	2413	708
773	2416	705
774	2419	702
775	2422	699
776	2425	696
777	2428	692
778	2431	689
779	2434	686
780	2437	683
781	2441	680
782	2444	677
783	2447	674
784	2450	671
785	2453	668
786	2456	664
787	2459	661
788	2462	658
789	2466	655
790	2469	652
791	2472	649
792	2475	646
793	2477	642
794	2481	639
795	2484	636
796	2487	633
797	2490	630
798	2493	627
799	2496	624
800	2499	620
801	2502	617
802	2505	614
803	2508	611
804	2511	608
805	2514	605
806	2517	602
807	2520	598
808	2523	595
809	2526	592
810	2529	589
811	2532	586
812	2536	583
813	2539	580
814	2542	577
815	2546	574
816	2549	571
817	2552	568
818	2555	564
819	2558	561
